keyword_id,canonical_keyword,variations,cell,segment,factor,occupation_group,best_stage,national_zero_months,regional_final_tier,active_v25,recommended_action
FP101,สมัครงาน โรงแรม,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP102,สมัครงาน ก่อสร้าง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP103,สมัครงาน เซเว่น,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP104,สมัครงาน ห้าง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP105,สมัครงาน โลตัส,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP106,สมัครงาน บิ๊กซี,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP107,สมัครงาน รับเหมา,,FP,Formal,Pull,fp_branch_scout,national_pass,6,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP108,สมัครงาน โรงงาน,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2,Y,ใช้ได้แล้วใน Interactive v25
FP109,สมัครงาน โรงพยาบาล,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T1,Y,ใช้ได้แล้วใน Interactive v25
FP110,สมัครงาน โรงบาล,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP111,สมัครงาน โรงเรียน,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP112,สมัครงาน ครู,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP113,สมัครงาน โรงหนัง,,FP,Formal,Pull,fp_branch_scout,national_pass,9,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP114,สมัครงาน ขนส่ง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP115,สมัครงาน ต่างประเทศ,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP116,สมัครงาน ร้านเหล้า,,FP,Formal,Pull,fp_branch_scout,national_pass,15,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP117,สมัครงาน ร้านนวด,,FP,Formal,Pull,fp_branch_scout,national_pass,16,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP118,สมัครงาน พยาบาล,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T1,Y,ใช้ได้แล้วใน Interactive v25
FP119,สมัครงาน หมอ,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP120,สมัครงาน วิศวะ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP121,สมัครงาน ช่าง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP122,สมัครงาน ล้างจาน,,FP,Formal,Pull,fp_branch_scout,national_pass,6,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP123,สมัครงาน คาเฟ่,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP124,สมัครงาน แม่บ้าน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP125,สมัครงาน รปภ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP126,สมัครงาน รักษาความปลอดภัย,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP127,สมัครงาน ธนาคาร,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP128,สมัครงาน นักวิเคราะห์,,FP,Formal,Pull,fp_branch_scout,national_pass,4,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP129,สมัครงาน บัญชี,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP130,สมัครงาน HR,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP131,สมัครงาน ป่าไม้,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP132,สมัครงาน ทหาร,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP133,สมัครงาน ฝ่ายขาย,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP134,สมัครงาน เทศบาล,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP135,สมัครงาน อาจารย์,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP136,สมัครงาน พาร์ทไทม์,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP137,สมัครงาน ประจำ,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP138,สมัครงาน อะไรดี,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP139,สมัครงาน IT,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP140,สมัครงาน การตลาด,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP141,สมัครงาน บริการ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP142,หางาน โรงงาน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP143,หางาน ก่อสร้าง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP144,หางาน ช่าง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP145,หางาน ขนส่ง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP146,หางาน รปภ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP147,หางาน โรงแรม,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP148,หางาน เซเว่น,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP149,หางาน ห้าง,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP150,หางาน คาเฟ่,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP151,หางาน บริการ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP152,หางาน โรงพยาบาล,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP153,หางาน โรงเรียน,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP154,หางาน แม่บ้าน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP155,หางาน รักษาความปลอดภัย,,FP,Formal,Pull,fp_branch_scout,national_pass,14,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP156,หางาน ล้างจาน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP157,หางาน รับเหมา,,FP,Formal,Pull,fp_branch_scout,national_pass,4,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP158,หางาน พยาบาล,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP159,หางาน ครู,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP160,หางาน เทศบาล,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP161,หางาน บัญชี,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP162,หางาน HR,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP163,หางาน IT,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP164,หางาน การตลาด,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP165,หางาน ฝ่ายขาย,,FP,Formal,Pull,fp_branch_scout,national_pass,6,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP166,หางาน ธนาคาร,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP167,หางาน บิ๊กซี,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP168,หางาน โลตัส,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP169,หางาน พาร์ทไทม์,,FP,Formal,Pull,fp_branch_scout,active_v25,0,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP170,หางาน ประจำ,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP171,หางาน คนสวน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP172,หางาน ร้านเหล้า,,FP,Formal,Pull,fp_branch_scout,national_pass,12,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP173,หางาน ร้านนวด,,FP,Formal,Pull,fp_branch_scout,national_pass,6,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP174,หางาน วิศวะ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP175,หางาน หมอ,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP176,หางาน อาจารย์,,FP,Formal,Pull,fp_branch_scout,active_v25,1,T2_family,Y,ใช้ได้แล้วใน Interactive v25
FP177,หางาน ทหาร,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP178,หางาน ต่างประเทศ,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP179,หางาน แคชเชียร์,,FP,Formal,Pull,fp_branch_scout,national_pass,15,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP180,สมัครงาน แคชเชียร์,,FP,Formal,Pull,fp_branch_scout,national_pass,2,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP181,หางาน พนักงานขาย,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP182,หางาน แม่ครัว,,FP,Formal,Pull,fp_branch_scout,national_pass,9,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP183,หางาน แพ็คของ,,FP,Formal,Pull,fp_branch_scout,national_pass,12,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP184,หางาน ธุรการ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP185,สมัครงาน ธุรการ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP186,หางาน คนขับรถ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP187,สมัครงาน คนขับรถ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP188,หางาน แอดมิน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP189,สมัครงาน แอดมิน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP190,หางาน คีย์ข้อมูล,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP191,สมัครงาน คีย์ข้อมูล,,FP,Formal,Pull,fp_branch_scout,national_pass,4,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP192,หางาน ช่างยนต์,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP193,สมัครงาน ช่างยนต์,,FP,Formal,Pull,fp_branch_scout,national_pass,3,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP194,หางาน ผู้ช่วยพยาบาล,,FP,Formal,Pull,fp_branch_scout,regional_pass,1,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP195,สมัครงาน ผู้ช่วยพยาบาล,,FP,Formal,Pull,fp_branch_scout,regional_pass,0,T2_family,N,ผ่าน Regional แล้ว รอ/ใช้ใน family review หรือ interactive รุ่นถัดไป
FP196,หางาน Call Center,,FP,Formal,Pull,fp_branch_scout,national_pass,3,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP197,สมัครงาน Call Center,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP198,หางาน จัดซื้อ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP199,สมัครงาน จัดซื้อ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP200,หางาน การเงิน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP201,สมัครงาน การเงิน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP202,หางาน ช่างเชื่อม,,FP,Formal,Pull,fp_branch_scout,national_pass,4,T3_demoted_from_T2,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP203,หางาน เกษตร,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP204,สมัครงาน เกษตร,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP205,หางาน ฟาร์ม,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP206,สมัครงาน ฟาร์ม,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP207,สมัครงาน ประกัน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP208,หางาน ประกัน,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP209,หางาน คลังสินค้า,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP210,สมัครงาน คลังสินค้า,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP211,หางาน เชฟ,,FP,Formal,Pull,fp_branch_scout,national_pass,1,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP212,สมัครงาน เชฟ,,FP,Formal,Pull,fp_branch_scout,national_pass,0,T3,N,เก็บเป็น context/T3 ไม่ควรใช้เป็น active regional signal ตอนนี้
FP301,สอบ ก.พ./ราชการ,สอบบรรจุราชการ | สอบเข้าราชการ,FP,Formal,Pull,Public-sector,active_v25,0,,Y,ใช้ได้แล้วใน Interactive v25
FP302,สมัครสอบราชการ,รับสมัครสอบราชการ | เปิดรับสมัครสอบราชการ,FP,Formal,Pull,Public-sector,active_v25,0,,Y,ใช้ได้แล้วใน Interactive v25
FP303,ประกาศสอบราชการ,ข่าวสอบราชการ | ประกาศรับสมัครสอบราชการ,FP,Formal,Pull,Public-sector,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
FP304,สอบพนักงานราชการ,พนักงานราชการ เปิดสอบ | สมัครสอบพนักงานราชการ,FP,Formal,Pull,Public-sector,national_pass,0,,N,ผ่าน National แล้ว ต้องทำ Regional Gate และ semantic family review
